Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue
Волгоградэнергосбыт,45022.0,0.0,319.6,3.44,2.51,-16.5,2.76,26.2
Белон,5.2,0.0,1150.0,5.25,29.0,-12.7,-0.57,0.006
Россети Томск (ТРК),5.17,0.065,3819.0,0.287,2.3,8.7,0.09,8.41
ТНС энерго Воронеж,45143.0,0.0,56.2,138.6,19.9,82.8,26.5,32.8
ЧЗПСН,4.51,0.79,838.3,2.13,3.16,11.1,0.24,9.57
ДЗРД - Донской завод радиодеталей,4.34,0.826,0.343,2070.0,1.39,4.3,384.4,2.27
Наука-Связь,45142.0,1.08,4.7,147.0,1.21,1.0,2.98,1.58
Ставропольэнергосбыт,44961.0,0.5,859.1,0.763,1.86,30.6,0.62,22.3
Европейская Электротехника,3.91,0.104,610.0,6.22,7.73,46.4,1.55,7.13
Астраханэнергосбыт,3.72,0.0,773.9,0.758,0.95,2.1,0.01,12.2
Мультисистема,3.3,0.042,100.0,1.74,0.17,3.8,0.03,0.52
Фармсинтез,2.88,0.375,151.7,4.2,1.16,-16.9,-1.74,0.309
Электроцинк,2.57,2.53,1.4,349.5,0.58,100.4,-858.3,1.14
Рязаньэнергосбыт РЭСК,2.47,0.0,206.9,19.1,8.13,65.4,4.02,12.2
Костромская сбытовая компания,2.21,0.241,869.0,0.598,1.7,5.2,0.03,9.87
ИСКЧ,45018.0,0.708,85.0,62.1,9.33,13.5,0.54,1.14
ТНС энерго Марий Эл,44959.0,0.0,121.8,15.8,4.61,43.5,3.86,9.01
левенгук,1.45,0.668,52.9,13.4,1.02,7.3,0.89,0.66
Мордовэнергосбыт,1.45,0.33,1345.0,0.315,0.71,29.9,0.07,6.77
ДИОД,1.42,0.0,91.5,7.68,0.98,3.5,0.46,0.561
ГИТ,1.3,0.011,437.0,0.353,0.03,0.1,0.0,0.038
ВХЗ,1.21,0.326,5.01,72.2,0.73,19.0,19.8,3.54
Центральный телеграф,1.15,0.0,166.2,9.98,3.34,-5.9,-0.28,1.33
ММЦБ,0.87,0.225,1.49,799.5,1.39,81.3,75.7,0.255
Генетико,0.794,0.223,83.0,17.9,2.62,-16.5,-0.94,0.312
Светофор Групп,0.46,0.18,24.8,17.5,0.74,15.4,1.01,0.31
Арсагера,0.205,0.0,123.8,5.01,0.83,-42.5,-0.66,0.038
ТКСМ,0.157,0.014,39.9,2.9,0.12,-24.7,-0.5,0.107
